"","STATIONID","LAT","LONG","STATION"
"126","USC00424025","40.9667",-110.1667,"HOLE IN THE ROCK"
"127","USC00424225","40.5500",-112.2333,"INTERNATIONAL"
"128","USC00427061","40.2167",-111.7167,"PROVO AP"
"129","USC00428631","40.7500",-112,"TERMINAL"
"130","USC00434122","44.7903",-71.8297,"ISLAND POND AP"
"131","USC00435376","44.5328",-72.6153,"MORRISVILLE-STOWE STATE AP"
"132","USC00440880","37.5333",-77.6833,"BON AIR"
"133","USC00451650","48.5500",-117.8833,"COLVILLE AP"
"134","USC00452066","47.9667",-117.4333,"DEER PARK AP"
"135","USC00472412","42.7981",-88.3803,"EAST TROY AP"
"136","USC00484799","44.7811",-106.9644,"IML - AIR SCI"
"137","USC00500272","61.1747",-149.905,"ANCHORAGE ARCTIC & INT"
"138","USC00502457","59.0500",-158.5167,"DILLINGHAM FAA AP"
"139","USC00502965","64.8172",-147.8739,"FAIRBANKS AP #2"
"140","USC00503500","59.2667",-135.45,"HAINES TERMINAL"
"141","USC00506093","63.6500",-148.8,"MT MCKINLEY NP AP"
"142","USC00506403","60.6833",-151.3833,"NIKISKI TERMINAL"
"143","USC00508107","62.0667",-163.3,"ST MARYS AP"
"144","USC00508550","62.7167",-143.9167,"SLANA AP"
"145","USC00509685","61.1314",-146.2436,"VALDEZ AIRPORT"
"146","USC00509919","56.4733",-132.3875,"WRANGELL AP"
"147","USC00511125","20.7947",-156.0153,"HANA AP 355"
"148","USC00512307","20.9333",-156.7,"KAANAPALI AP 453.1"
"149","USC00512317","20.9333",-156.7,"KAANAPALI AP 453.1"
"150","USC00513078","20.0000",-155.6667,"KAMUELA AP 191"
"151","USC00513317","20.9625",-156.6753,"KAPALUA-W MAUI AP 462.4"
"152","USC00514764","19.6500",-156.0167,"KONA AP 68.3"
"153","USC00515275","20.7894",-156.9486,"LANAI AP 656"
"154","USC00518108","21.8961",-159.6028,"PORT ALLEN AP 926.10"
"155","USC00518161","22.2114",-159.4433,"PRINCEVILLE AP 1117.9"
"156","USC00518816","20.2647",-155.8586,"UPOLU AP 160.3"
"157","USC00518828","20.2667",-155.85,"UPOLU POINT AP 16"
"158","USC00518953","21.5167",-157.95,"WAHIAWA MAUKA INTL 882"
"159","USP00CA0003","38.5069",-121.495,"SACRAMENTO AP ASOS"
"160","USR0000CREA","40.5158",-122.2906,"REDDING AIRPORT CALIFORNIA"
"161","USR0000CWEE","41.4789",-122.4539,"WEED AIRPORT CALIFORNIA"
"162","USR0000KJAC","37.5922",-83.3178,"JACKSON CO. AP KENTUCKY"
"163","USR0000MTHO","47.5806",-115.285,"THOMPSON FALLS AP MONTANA"
"164","USR0000OILL","42.1039",-123.6853,"ILLINOIS VALLEY AIRPORT OREGON"
"165","USS0010J01S","40.9200",-110.19,"Hole-in-Rock"
"166","USS0015J15S","40.9400",-115.1,"Hole-in-Mountain"
"167","USW00000102","66.9831",-160.4331,"BOB BARKER MEMORIAL AP"
"168","USW00000103","65.6169",-168.1,"WALES AP"
