"","STATIONID","STATION"
"372","USW00012947","COTULLA LA SALLE CO AP"
"373","USW00012953","WHARTON RGNL AP"
"374","USW00012957","PORT ISABEL CAMERON CO AP"
"375","USW00012959","MCALLEN MILLER INTL AP"
"376","USW00012960","HOUSTON INTERCONTINENTAL AP"
"377","USW00012961","KERRVILLE MUNI AP"
"378","USW00012962","HONDO MUNI AP"
"379","USW00012970","SAN ANTONIO STINSON MUNI AP"
"380","USW00012972","ROCKPORT ARANSAS CO AP"
"381","USW00012978","FAYETTE RGNL AP"
"382","USW00012979","SAN MARCOS MUNI AP"
"383","USW00012981","BAY CITY MUNI AP"
"384","USW00012985","GARNER FLD AP"
"385","USW00013722","RALEIGH AP"
"386","USW00013723","GREENSBORO AP"
"387","USW00013726","BLACKSTONE FAA AP"
"388","USW00013728","DANVILLE RGNL AP"
"389","USW00013729","ELKINS- RANDOLPH CO AP"
"390","USW00013732","GORDONSVILLE FAA AP"
"391","USW00013733","LYNCHBURG RGNL AP"
"392","USW00013734","MARTINSBURG E W VIRGINIA RGNL"
"393","USW00013735","MILLVILLE MUNI AP"
"394","USW00013736","MORGANTOWN MUNI AP"
"395","USW00013737","NORFOLK INTL AP"
"396","USW00013739","PHILA INTL AP"
"397","USW00013740","RICHMOND INTL AP"
"398","USW00013741","ROANOKE-BLACKSBURG RGNL AP"
"399","USW00013743","WASHINGTON REAGAN NATL AP"
"400","USW00013744","FLORENCE RGNL AP"
"401","USW00013746","ROCKY MT FAA AP"
"402","USW00013747","WARRENTON WB AP"
"403","USW00013748","WILMINGTON INTL AP"
"404","USW00013764","GEORGETOWN-DELAWARE COASTAL AP"
"405","USW00013766","MANTEO AP"
"406","USW00013776","LUMBERTON RGNL AP"
"407","USW00013781","WILMINGTON NEW CASTLE CO AP"
"408","USW00013803","COLUMBUS BAKALAR AP"
"409","USW00013809","LAWRENCEVILLE VINCENNES INTL A"
"410","USW00013827","SMYRNA AP"
"411","USW00013833","HATTIESBURG CHAIN MUNI AP"
"412","USW00013837","AUGUSTA DANIEL FLD AP"
"413","USW00013838","MOBILE DWTN AP"
"414","USW00013839","DOTHAN RGNL AP"
"415","USW00013866","CHARLESTON - YEAGER AP"
"416","USW00013868","PULASKI FAA AP"
"417","USW00013869","ALBANY SW GEORGIA RGNL AP"
"418","USW00013870","ALMA BACON CO AP"
"419","USW00013871","ANNISTON METRO AP"
"420","USW00013873","ATHENS BEN EPPS AP"
"421","USW00013876","BIRMINGHAM AP"
"422","USW00013877","BRISTOL AP"
"423","USW00013878","BRUNSWICK-MCKINNON AP"
"424","USW00013880","CHARLESTON INTL AP"
"425","USW00013881","CHARLOTTE DOUGLAS AP"
"426","USW00013882","CHATTANOOGA AP"
"427","USW00013884","CRESTVIEW FAA/AP"
"428","USW00013885","EVERGREEN FAA AP"
"429","USW00013886","GREENVILLE DWTN AP"
"430","USW00013891","KNOXVILLE AP"
"431","USW00013893","MEMPHIS INTL AP"
"432","USW00013895","MONTGOMERY AP"
"433","USW00013896","MUSCLE SHOALS AP"
"434","USW00013897","NASHVILLE INTL AP"
"435","USW00013899","PENSACOLA RGNL AP"
"436","USW00013904","AUSTIN BERGSTROM INTL AP"
"437","USW00013905","BRYAN CAA AP"
"438","USW00013922","SALINA FAA AP"
"439","USW00013925","STUTTGART MUNI AP"
"440","USW00013926","GREENVILLE MUNI AP MAJORS FLD"
"441","USW00013932","WINFIELD STROTHER FLD AP"
"442","USW00013940","GREAT BEND MUNI AP"
"443","USW00013942","MONROE RGNL AP"
"444","USW00013959","WACO RGNL AP"
"445","USW00013960","DALLAS FAA AP"
"446","USW00013962","ABILENE RGNL AP"
"447","USW00013963","LITTLE ROCK AP ADAMS FLD"
"448","USW00013964","FT SMITH RGNL AP"
"449","USW00013965","ARDMORE FAA AP"
"450","USW00013966","WICHITA FALLS MUNI AP"
"451","USW00013968","TULSA INTL AP"
"452","USW00013969","PONCA CITY MUNI AP"
"453","USW00013970","BATON ROUGE METRO AP"
"454","USW00013971","HARRISON BOONE CO AP"
"455","USW00013973","JUNCTION KIMBLE CO AP"
"456","USW00013975","GAGE AP"
"457","USW00013976","LAFAYETTE RGNL AP"
"458","USW00013978","GREENWOOD LEFLORE AP"
"459","USW00013979","VICKSBURG CAA AP"
"460","USW00013981","CHANUTE MARTIN JOHNSON AP"
"461","USW00013983","COLUMBIA WSO AP"
"462","USW00013986","HUTCHINSON MUNI AP"
"463","USW00013987","JOPLIN RGNL AP"
"464","USW00013988","KANSAS CITY DWTN AP"
"465","USW00013990","LEBO CAA AP"
"466","USW00013993","ST JOSEPH ROSECRANS MEM AP"
"467","USW00013994","ST LOUIS LAMBERT INTL AP"
"468","USW00013997","VICHY ROLLA NATL AP"
"469","USW00014604","PRESQUE ISLE AP"
"470","USW00014605","AUGUSTA STATE AP"
"471","USW00014606","BANGOR INTL AP"
"472","USW00014609","HOULTON AP"
"473","USW00014610","MILLINOCKET MUNI AP"
"474","USW00014615","WATERVILLE LEFLEUR AP"
"475","USW00014622","OLD TOWN FAA AP"
"476","USW00014707","GROTON NEW LONDON AP"
"477","USW00014710","MANCHESTER AP"
"478","USW00014711","MIDDLETOWN HARRISBURG INTL AP"
"479","USW00014712","READING RGNL AP"
"480","USW00014719","WESTHAMPTON GABRESKI AP"
"481","USW00014732","LAGUARDIA AP"
"482","USW00014734","NEWARK LIBERTY INTL AP"
"483","USW00014735","ALBANY INTL AP"
"484","USW00014736","ALTOONA BLAIR CO AP"
"485","USW00014737","ALLENTOWN LEHIGH VLY INTL AP"
"486","USW00014738","BINGHAMTON WB AP"
"487","USW00014740","HARTFORD-BRADLEY INTL AP"
"488","USW00014741","BROOKVILLE FAA AP"
"489","USW00014742","BURLINGTON INTL AP"
"490","USW00014746","CURWENSVILLE WB AP"
"491","USW00014747","DUNKIRK CHAUTAUQUA CO AP"
"492","USW00014748","ELMIRA CORNING RGNL AP"
"493","USW00014749","FT PLAIN WB AP"
"494","USW00014750","GLENS FALLS AP"
"495","USW00014751","HARRISBURG CAPITAL CITY AP"
"496","USW00014754","TOBYHANNA POCONO MTN AP"
"497","USW00014756","NANTUCKET MEM AP"
